machine_id,current_A,vibration_ms2,state
2,0.115,1.026,MACHINE ON (Idle)
3,0.167,3.865,MACHINE ON + WORKING
3,0.033,0.243,MACHINE OFF
5,0.098,1.161,MACHINE ON (Idle)
2,0.087,1.051,MACHINE ON (Idle)
5,0.029,0.381,MACHINE OFF
3,0.086,1.118,MACHINE ON (Idle)
5,0.047,0.475,MACHINE OFF
1,0.082,1.12,MACHINE ON (Idle)
2,0.163,5.553,MACHINE ON + WORKING
2,0.031,0.189,MACHINE OFF
5,0.036,0.636,MACHINE OFF
5,0.038,0.405,MACHINE OFF
5,0.122,1.449,MACHINE ON (Idle)
2,0.054,0.303,MACHINE OFF
3,0.078,0.738,MACHINE ON (Idle)
3,0.146,4.949,MACHINE ON + WORKING
1,0.095,0.833,MACHINE ON (Idle)
5,0.026,0.34,MACHINE OFF
2,0.089,0.929,MACHINE ON (Idle)
3,0.094,1.537,MACHINE ON (Idle)
3,0.104,4.324,MACHINE ON + WORKING
5,0.04,0.476,MACHINE OFF
5,0.105,1.513,MACHINE ON (Idle)
3,0.136,0.591,MACHINE ON (Idle)
2,0.151,3.063,MACHINE ON + WORKING
5,0.151,1.358,MACHINE ON + WORKING
2,0.123,2.036,MACHINE ON + WORKING
3,0.086,1.218,MACHINE ON (Idle)
1,0.144,1.225,MACHINE ON + WORKING
3,0.038,1.175,MACHINE OFF
2,0.124,0.77,MACHINE ON (Idle)
4,0.051,0.026,MACHINE OFF
1,0.174,1.186,MACHINE ON + WORKING
2,0.092,0.84,MACHINE ON (Idle)
5,0.125,3.744,MACHINE ON + WORKING
1,0.107,0.426,MACHINE ON (Idle)
1,0.03,0.236,MACHINE OFF
2,0.162,1.882,MACHINE ON + WORKING
5,0.103,1.385,MACHINE ON (Idle)
5,0.1,1.305,MACHINE ON (Idle)
2,0.048,0.224,MACHINE OFF
2,0.045,0.256,MACHINE OFF
3,0.039,0.435,MACHINE OFF
2,0.124,1.843,MACHINE ON + WORKING
1,0.129,3.845,MACHINE ON + WORKING
4,0.052,0.04,MACHINE OFF
4,0.1,0.841,MACHINE ON (Idle)
2,0.113,4.265,MACHINE ON + WORKING
4,0.102,0.922,MACHINE ON (Idle)
3,0.029,0.327,MACHINE OFF
5,0.173,8.653,MACHINE ON + WORKING
3,0.078,1.339,MACHINE ON (Idle)
3,0.112,1.609,MACHINE ON (Idle)
3,0.047,0.309,MACHINE OFF
5,0.123,0.985,MACHINE ON (Idle)
5,0.091,1.286,MACHINE ON (Idle)
4,0.086,1.072,MACHINE ON + WORKING
5,0.116,4.534,MACHINE ON + WORKING
2,0.16,9.488,MACHINE ON + WORKING
3,0.131,2.836,MACHINE ON + WORKING
1,0.084,5.908,MACHINE ON + WORKING
3,0.141,3.957,MACHINE ON + WORKING
3,0.061,0.888,MACHINE ON (Idle)
4,0.041,0.1,MACHINE OFF
5,0.143,3.644,MACHINE ON + WORKING
1,0.126,0.01,MACHINE ON + WORKING
5,0.043,0.521,MACHINE OFF
4,0.047,0.224,MACHINE OFF
4,0.107,0.605,MACHINE ON (Idle)
2,0.1,1.241,MACHINE ON (Idle)
5,0.205,7.061,MACHINE ON + WORKING
2,0.107,2.742,MACHINE ON + WORKING
2,0.042,0.337,MACHINE OFF
4,0.127,2.465,MACHINE ON + WORKING
4,0.047,0.01,MACHINE OFF
2,0.116,0.87,MACHINE ON (Idle)
4,0.051,0.077,MACHINE OFF
1,0.115,0.893,MACHINE ON (Idle)
1,0.084,3.089,MACHINE ON + WORKING
5,0.103,1.259,MACHINE ON (Idle)
1,0.024,0.187,MACHINE OFF
5,0.033,0.519,MACHINE OFF
4,0.038,0.166,MACHINE OFF
5,0.094,1.065,MACHINE ON (Idle)
4,0.035,0.01,MACHINE OFF
4,0.028,0.051,MACHINE OFF
3,0.132,1.028,MACHINE ON (Idle)
2,0.041,0.32,MACHINE OFF
3,0.031,0.298,MACHINE OFF
5,0.121,1.291,MACHINE ON + WORKING
4,0.075,0.437,MACHINE ON (Idle)
1,0.122,1.007,MACHINE ON (Idle)
4,0.11,9.308,MACHINE ON + WORKING
4,0.048,0.222,MACHINE OFF
1,0.015,0.044,MACHINE OFF
4,0.028,0.01,MACHINE OFF
3,0.027,0.489,MACHINE OFF
4,0.166,1.402,MACHINE ON + WORKING
5,0.103,1.505,MACHINE ON (Idle)
3,0.104,0.78,MACHINE ON (Idle)
3,0.08,0.599,MACHINE ON (Idle)
2,0.166,0.483,MACHINE ON + WORKING
5,0.047,0.424,MACHINE OFF
5,0.05,0.411,MACHINE OFF
4,0.114,0.834,MACHINE ON + WORKING
1,0.103,0.801,MACHINE ON (Idle)
4,0.123,4.661,MACHINE ON + WORKING
4,0.043,0.091,MACHINE OFF
4,0.067,0.89,MACHINE ON (Idle)
1,0.118,4.472,MACHINE ON + WORKING
3,0.084,0.761,MACHINE ON (Idle)
1,0.025,0.147,MACHINE OFF
2,0.085,0.91,MACHINE ON (Idle)
2,0.032,0.276,MACHINE OFF
5,0.114,1.487,MACHINE ON (Idle)
3,0.058,0.793,MACHINE ON (Idle)
5,0.154,2.342,MACHINE ON + WORKING
2,0.153,6.44,MACHINE ON + WORKING
1,0.145,2.376,MACHINE ON + WORKING
4,0.036,0.038,MACHINE OFF
1,0.144,7.351,MACHINE ON + WORKING
2,0.093,1.413,MACHINE ON (Idle)
5,0.089,0.679,MACHINE ON (Idle)
5,0.042,0.638,MACHINE OFF
4,0.037,0.152,MACHINE OFF
3,0.098,1.319,MACHINE ON (Idle)
4,0.096,1.068,MACHINE ON + WORKING
4,0.092,0.983,MACHINE ON (Idle)
5,0.145,2.631,MACHINE ON + WORKING
5,0.035,0.621,MACHINE OFF
5,0.155,5.625,MACHINE ON + WORKING
1,0.03,0.249,MACHINE OFF
4,0.035,0.146,MACHINE OFF
3,0.105,1.452,MACHINE ON + WORKING
2,0.083,0.626,MACHINE ON (Idle)
3,0.033,0.404,MACHINE OFF
3,0.106,1.008,MACHINE ON (Idle)
2,0.038,0.464,MACHINE OFF
4,0.102,0.93,MACHINE ON (Idle)
4,0.104,0.867,MACHINE ON (Idle)
1,0.049,0.255,MACHINE OFF
2,0.102,0.922,MACHINE ON (Idle)
4,0.11,2.898,MACHINE ON + WORKING
5,0.219,4.598,MACHINE ON + WORKING
3,0.09,0.926,MACHINE ON (Idle)
2,0.164,0.01,MACHINE ON + WORKING
2,0.099,0.69,MACHINE ON + WORKING
3,0.088,2.879,MACHINE ON + WORKING
5,0.098,1.11,MACHINE ON (Idle)
2,0.114,0.865,MACHINE ON (Idle)
3,0.13,1.371,MACHINE ON (Idle)
3,0.088,0.648,MACHINE ON (Idle)
3,0.079,1.053,MACHINE ON (Idle)
4,0.146,2.995,MACHINE ON + WORKING
3,0.082,0.863,MACHINE ON (Idle)
2,0.141,6.057,MACHINE ON + WORKING
4,0.047,1.056,MACHINE ON (Idle)
4,0.078,1.106,MACHINE ON + WORKING
1,0.025,0.295,MACHINE OFF
3,0.036,0.243,MACHINE OFF
5,0.117,0.922,MACHINE ON (Idle)
5,0.043,0.457,MACHINE OFF
4,0.029,0.141,MACHINE OFF
5,0.049,0.376,MACHINE OFF
5,0.132,1.184,MACHINE ON + WORKING
1,0.039,0.01,MACHINE OFF
2,0.191,2.235,MACHINE ON + WORKING
2,0.045,0.332,MACHINE OFF
1,0.02,0.01,MACHINE OFF
4,0.135,0.384,MACHINE ON (Idle)
3,0.117,2.31,MACHINE ON + WORKING
2,0.15,5.224,MACHINE ON + WORKING
5,0.142,2.823,MACHINE ON + WORKING
4,0.039,0.286,MACHINE OFF
2,0.042,0.217,MACHINE OFF
1,0.129,1.07,MACHINE ON + WORKING
5,0.044,0.372,MACHINE OFF
3,0.048,0.392,MACHINE OFF
3,0.141,5.365,MACHINE ON + WORKING
5,0.083,1.282,MACHINE ON (Idle)
5,0.088,1.275,MACHINE ON + WORKING
3,0.054,0.285,MACHINE OFF
2,0.039,0.048,MACHINE OFF
5,0.087,0.77,MACHINE ON (Idle)
3,0.114,1.129,MACHINE ON (Idle)
2,0.144,4.495,MACHINE ON + WORKING
3,0.02,0.576,MACHINE OFF
4,0.038,0.035,MACHINE OFF
4,0.041,0.067,MACHINE OFF
2,0.133,0.557,MACHINE ON (Idle)
3,0.121,4.665,MACHINE ON + WORKING
5,0.05,0.549,MACHINE OFF
3,0.167,0.761,MACHINE ON + WORKING
4,0.095,0.854,MACHINE ON (Idle)
1,0.153,5.773,MACHINE ON + WORKING
4,0.172,0.668,MACHINE ON + WORKING
5,0.049,0.483,MACHINE OFF
1,0.025,0.225,MACHINE OFF
3,0.167,3.239,MACHINE ON + WORKING
1,0.163,1.069,MACHINE ON + WORKING
2,0.033,0.096,MACHINE OFF
1,0.173,2.826,MACHINE ON + WORKING
1,0.086,0.677,MACHINE ON (Idle)
2,0.119,0.959,MACHINE ON (Idle)
5,0.049,0.541,MACHINE OFF
4,0.141,2.115,MACHINE ON + WORKING
5,0.131,1.718,MACHINE ON (Idle)
5,0.152,0.186,MACHINE ON + WORKING
1,0.082,2.36,MACHINE ON + WORKING
4,0.094,0.549,MACHINE ON (Idle)
3,0.024,0.317,MACHINE OFF
3,0.098,0.784,MACHINE ON (Idle)
4,0.16,5.119,MACHINE ON + WORKING
4,0.134,7.769,MACHINE ON + WORKING
5,0.037,0.487,MACHINE OFF
2,0.108,0.555,MACHINE ON (Idle)
4,0.04,0.01,MACHINE OFF
1,0.118,2.208,MACHINE ON + WORKING
4,0.135,5.991,MACHINE ON + WORKING
2,0.087,0.842,MACHINE ON (Idle)
5,0.039,0.706,MACHINE OFF
1,0.114,0.685,MACHINE ON (Idle)
5,0.131,8.29,MACHINE ON + WORKING
2,0.046,0.025,MACHINE OFF
2,0.027,0.197,MACHINE OFF
3,0.046,0.389,MACHINE OFF
1,0.026,0.118,MACHINE OFF
5,0.127,1.435,MACHINE ON (Idle)
4,0.042,0.138,MACHINE OFF
1,0.049,0.144,MACHINE OFF
3,0.099,1.201,MACHINE ON (Idle)
4,0.11,0.992,MACHINE ON (Idle)
1,0.181,2.866,MACHINE ON + WORKING
1,0.035,0.742,MACHINE OFF
3,0.148,2.949,MACHINE ON + WORKING
2,0.037,0.219,MACHINE OFF
2,0.099,0.885,MACHINE ON (Idle)
4,0.099,3.683,MACHINE ON + WORKING
5,0.095,1.407,MACHINE ON (Idle)
3,0.141,2.507,MACHINE ON + WORKING
4,0.041,0.034,MACHINE OFF
2,0.101,1.274,MACHINE ON (Idle)
5,0.097,2.432,MACHINE ON + WORKING
3,0.144,3.138,MACHINE ON + WORKING
4,0.079,2.04,MACHINE ON + WORKING
4,0.054,0.01,MACHINE OFF
3,0.128,1.392,MACHINE ON + WORKING
4,0.048,0.201,MACHINE OFF
1,0.039,0.11,MACHINE OFF
3,0.068,1.385,MACHINE ON (Idle)
3,0.032,0.344,MACHINE OFF
3,0.112,2.062,MACHINE ON + WORKING
2,0.027,0.344,MACHINE OFF
1,0.15,3.142,MACHINE ON + WORKING
5,0.045,0.516,MACHINE OFF
3,0.147,4.615,MACHINE ON + WORKING
2,0.102,1.355,MACHINE ON (Idle)
3,0.079,1.416,MACHINE ON (Idle)
2,0.031,0.199,MACHINE OFF
4,0.117,0.626,MACHINE ON (Idle)
3,0.03,0.317,MACHINE OFF
1,0.03,0.01,MACHINE OFF
4,0.12,0.529,MACHINE ON (Idle)
3,0.104,1.249,MACHINE ON + WORKING
3,0.07,1.135,MACHINE ON (Idle)
3,0.046,0.341,MACHINE OFF
3,0.016,0.293,MACHINE OFF
1,0.033,0.02,MACHINE OFF
3,0.087,1.238,MACHINE ON (Idle)
1,0.039,0.26,MACHINE OFF
3,0.039,0.501,MACHINE OFF
1,0.146,4.99,MACHINE ON + WORKING
4,0.044,0.081,MACHINE OFF
5,0.172,1.262,MACHINE ON + WORKING
5,0.096,1.215,MACHINE ON (Idle)
2,0.032,0.152,MACHINE OFF
4,0.109,2.091,MACHINE ON + WORKING
3,0.132,1.596,MACHINE ON + WORKING
4,0.042,0.01,MACHINE OFF
3,0.104,1.28,MACHINE ON (Idle)
5,0.093,2.584,MACHINE ON + WORKING
1,0.047,0.01,MACHINE OFF
1,0.195,5.357,MACHINE ON + WORKING
1,0.134,0.01,MACHINE ON + WORKING
5,0.092,1.285,MACHINE ON (Idle)
3,0.043,0.369,MACHINE OFF
5,0.044,0.502,MACHINE OFF
5,0.097,1.29,MACHINE ON (Idle)
2,0.091,0.408,MACHINE ON (Idle)
5,0.108,1.433,MACHINE ON (Idle)
2,0.028,0.071,MACHINE OFF
2,0.173,1.076,MACHINE ON + WORKING
2,0.038,0.474,MACHINE OFF
2,0.091,6.275,MACHINE ON + WORKING
3,0.123,1.186,MACHINE ON + WORKING
5,0.205,6.265,MACHINE ON + WORKING
4,0.036,0.015,MACHINE OFF
1,0.04,0.125,MACHINE OFF
5,0.041,1.127,MACHINE OFF
5,0.037,0.471,MACHINE OFF
1,0.041,0.155,MACHINE OFF
4,0.058,1.416,MACHINE ON (Idle)
4,0.122,0.692,MACHINE ON (Idle)
5,0.091,1.908,MACHINE ON (Idle)
5,0.049,0.52,MACHINE OFF
3,0.132,7.407,MACHINE ON + WORKING
3,0.097,1.251,MACHINE ON (Idle)
1,0.036,0.165,MACHINE OFF
5,0.116,0.919,MACHINE ON (Idle)
4,0.085,0.835,MACHINE ON (Idle)
4,0.099,0.842,MACHINE ON (Idle)
3,0.143,6.27,MACHINE ON + WORKING
3,0.126,5.328,MACHINE ON + WORKING
4,0.047,0.127,MACHINE OFF
1,0.126,5.951,MACHINE ON + WORKING
3,0.137,1.343,MACHINE ON + WORKING
5,0.033,0.326,MACHINE OFF
1,0.077,1.162,MACHINE ON (Idle)
4,0.087,0.479,MACHINE ON (Idle)
3,0.033,0.25,MACHINE OFF
5,0.089,1.666,MACHINE ON (Idle)
4,0.101,1.018,MACHINE ON (Idle)
5,0.075,0.808,MACHINE ON (Idle)
5,0.15,1.33,MACHINE ON (Idle)
5,0.161,5.257,MACHINE ON + WORKING
5,0.135,4.334,MACHINE ON + WORKING
5,0.12,2.989,MACHINE ON + WORKING
3,0.076,0.98,MACHINE ON (Idle)
3,0.076,4.194,MACHINE ON + WORKING
2,0.078,1.107,MACHINE ON (Idle)
4,0.097,1.005,MACHINE ON (Idle)
1,0.049,0.142,MACHINE OFF
4,0.026,0.114,MACHINE OFF
3,0.175,3.25,MACHINE ON + WORKING
5,0.106,1.076,MACHINE ON (Idle)
2,0.174,1.073,MACHINE ON + WORKING
1,0.037,0.01,MACHINE OFF
4,0.192,2.599,MACHINE ON + WORKING
2,0.043,0.128,MACHINE OFF
4,0.167,0.834,MACHINE ON + WORKING
5,0.035,0.685,MACHINE OFF
1,0.105,0.658,MACHINE ON (Idle)
1,0.129,1.059,MACHINE ON + WORKING
2,0.095,0.562,MACHINE ON (Idle)
3,0.098,0.752,MACHINE ON (Idle)
4,0.06,0.01,MACHINE OFF
2,0.131,1.115,MACHINE ON (Idle)
3,0.166,1.576,MACHINE ON + WORKING
1,0.025,0.049,MACHINE OFF
1,0.096,0.651,MACHINE ON (Idle)
5,0.037,0.54,MACHINE OFF
3,0.1,1.288,MACHINE ON (Idle)
3,0.038,0.515,MACHINE OFF
4,0.119,3.038,MACHINE ON + WORKING
1,0.075,0.958,MACHINE ON (Idle)
4,0.098,0.571,MACHINE ON (Idle)
4,0.179,0.721,MACHINE ON + WORKING
2,0.105,2.647,MACHINE ON + WORKING
5,0.145,5.11,MACHINE ON + WORKING
2,0.208,4.067,MACHINE ON + WORKING
2,0.033,0.236,MACHINE OFF
2,0.159,0.973,MACHINE ON + WORKING
1,0.023,0.129,MACHINE OFF
4,0.045,0.01,MACHINE OFF
5,0.06,1.354,MACHINE ON (Idle)
5,0.104,1.188,MACHINE ON (Idle)
3,0.091,1.145,MACHINE ON (Idle)
2,0.042,0.183,MACHINE OFF
3,0.026,0.216,MACHINE OFF
3,0.172,5.572,MACHINE ON + WORKING
4,0.043,0.975,MACHINE OFF
3,0.03,0.067,MACHINE OFF
1,0.035,0.059,MACHINE OFF
4,0.038,0.121,MACHINE OFF
1,0.096,0.834,MACHINE ON (Idle)
2,0.058,0.962,MACHINE ON (Idle)
2,0.031,0.353,MACHINE OFF
3,0.042,0.251,MACHINE OFF
2,0.136,1.063,MACHINE ON + WORKING
4,0.123,2.328,MACHINE ON + WORKING
3,0.027,0.29,MACHINE OFF
4,0.1,0.61,MACHINE ON (Idle)
1,0.148,5.581,MACHINE ON + WORKING
1,0.038,0.349,MACHINE OFF
4,0.073,0.721,MACHINE ON (Idle)
5,0.127,1.1,MACHINE ON (Idle)
5,0.126,0.01,MACHINE ON + WORKING
3,0.039,0.24,MACHINE OFF
4,0.027,0.088,MACHINE OFF
1,0.026,0.117,MACHINE OFF
3,0.117,0.985,MACHINE ON (Idle)
5,0.032,0.466,MACHINE OFF
5,0.041,0.641,MACHINE OFF
2,0.081,0.399,MACHINE ON (Idle)
4,0.12,5.23,MACHINE ON + WORKING
2,0.066,1.121,MACHINE ON (Idle)
1,0.033,0.212,MACHINE OFF
5,0.118,1.495,MACHINE ON (Idle)
5,0.104,1.142,MACHINE ON (Idle)
2,0.198,3.553,MACHINE ON + WORKING
5,0.044,0.425,MACHINE OFF
4,0.028,0.383,MACHINE OFF
2,0.107,4.353,MACHINE ON + WORKING
4,0.041,0.01,MACHINE OFF
4,0.17,1.636,MACHINE ON + WORKING
5,0.078,1.059,MACHINE ON (Idle)
3,0.043,0.376,MACHINE OFF
4,0.088,0.778,MACHINE ON (Idle)
5,0.124,1.411,MACHINE ON + WORKING
4,0.105,0.934,MACHINE ON (Idle)
1,0.107,0.74,MACHINE ON (Idle)
1,0.11,2.01,MACHINE ON + WORKING
3,0.067,1.472,MACHINE ON (Idle)
4,0.107,0.934,MACHINE ON + WORKING
4,0.041,0.152,MACHINE OFF
4,0.041,0.097,MACHINE OFF
2,0.133,3.845,MACHINE ON + WORKING
2,0.174,1.308,MACHINE ON + WORKING
3,0.108,1.06,MACHINE ON (Idle)
3,0.094,3.211,MACHINE ON + WORKING
2,0.135,2.223,MACHINE ON + WORKING
5,0.115,1.326,MACHINE ON (Idle)
3,0.107,1.144,MACHINE ON (Idle)
5,0.068,1.242,MACHINE ON (Idle)
3,0.16,3.123,MACHINE ON + WORKING
2,0.027,0.283,MACHINE OFF
4,0.112,0.83,MACHINE ON + WORKING
4,0.148,4.548,MACHINE ON + WORKING
5,0.093,0.926,MACHINE ON (Idle)
3,0.129,3.429,MACHINE ON + WORKING
2,0.095,1.067,MACHINE ON + WORKING
1,0.04,0.083,MACHINE OFF
5,0.118,0.01,MACHINE ON + WORKING
5,0.15,5.415,MACHINE ON + WORKING
4,0.134,0.706,MACHINE ON (Idle)
3,0.116,0.78,MACHINE ON (Idle)
1,0.139,0.755,MACHINE ON (Idle)
1,0.046,0.321,MACHINE OFF
3,0.126,1.532,MACHINE ON (Idle)
3,0.032,0.451,MACHINE OFF
4,0.038,0.025,MACHINE OFF
2,0.166,8.196,MACHINE ON + WORKING
4,0.091,0.784,MACHINE ON (Idle)
2,0.041,0.063,MACHINE OFF
3,0.102,7.108,MACHINE ON + WORKING
5,0.096,1.066,MACHINE ON (Idle)
2,0.174,0.01,MACHINE ON + WORKING
1,0.085,0.574,MACHINE ON (Idle)
1,0.03,0.197,MACHINE OFF
4,0.106,0.738,MACHINE ON (Idle)
4,0.047,0.051,MACHINE OFF
4,0.155,2.085,MACHINE ON + WORKING
3,0.071,1.009,MACHINE ON (Idle)
1,0.034,0.297,MACHINE OFF
2,0.116,1.071,MACHINE ON (Idle)
1,0.026,0.15,MACHINE OFF
4,0.151,3.393,MACHINE ON + WORKING
4,0.038,0.05,MACHINE OFF
3,0.035,0.298,MACHINE OFF
1,0.041,0.04,MACHINE OFF
3,0.082,1.017,MACHINE ON (Idle)
2,0.018,0.288,MACHINE OFF
5,0.044,0.479,MACHINE OFF
2,0.067,1.066,MACHINE ON (Idle)
3,0.157,0.891,MACHINE ON + WORKING
1,0.023,0.361,MACHINE OFF
3,0.085,5.729,MACHINE ON + WORKING
5,0.039,0.416,MACHINE OFF
3,0.034,0.435,MACHINE OFF
1,0.089,1.13,MACHINE ON (Idle)
5,0.101,0.988,MACHINE ON (Idle)
3,0.102,1.219,MACHINE ON (Idle)
2,0.133,0.672,MACHINE ON (Idle)
4,0.1,0.61,MACHINE ON (Idle)
1,0.116,3.082,MACHINE ON + WORKING
4,0.121,1.552,MACHINE ON + WORKING
3,0.041,0.243,MACHINE OFF
5,0.109,1.114,MACHINE ON (Idle)
2,0.127,4.303,MACHINE ON + WORKING
2,0.116,0.883,MACHINE ON (Idle)
1,0.076,0.819,MACHINE ON (Idle)
2,0.089,0.936,MACHINE ON (Idle)
5,0.146,0.673,MACHINE ON + WORKING
5,0.045,0.607,MACHINE OFF
1,0.086,1.102,MACHINE ON (Idle)
4,0.103,3.385,MACHINE ON + WORKING
5,0.09,1.711,MACHINE ON (Idle)
1,0.125,2.393,MACHINE ON + WORKING
3,0.034,0.396,MACHINE OFF
5,0.059,0.363,MACHINE OFF
2,0.039,0.224,MACHINE OFF
1,0.093,0.92,MACHINE ON (Idle)
3,0.167,1.012,MACHINE ON + WORKING
2,0.035,0.319,MACHINE OFF
3,0.211,1.789,MACHINE ON + WORKING
5,0.161,3.887,MACHINE ON + WORKING
5,0.183,2.943,MACHINE ON + WORKING
2,0.079,0.01,MACHINE ON + WORKING
2,0.086,0.79,MACHINE ON (Idle)
5,0.05,0.554,MACHINE OFF
1,0.055,0.063,MACHINE OFF
1,0.087,0.988,MACHINE ON (Idle)
3,0.118,1.24,MACHINE ON (Idle)
4,0.091,0.659,MACHINE ON (Idle)
5,0.106,1.433,MACHINE ON (Idle)
4,0.03,0.098,MACHINE OFF
4,0.037,0.019,MACHINE OFF
1,0.111,0.848,MACHINE ON (Idle)
4,0.055,0.173,MACHINE OFF
3,0.093,4.101,MACHINE ON + WORKING
3,0.148,0.976,MACHINE ON + WORKING
3,0.158,4.745,MACHINE ON + WORKING
2,0.052,0.03,MACHINE OFF
2,0.07,6.23,MACHINE ON + WORKING
4,0.035,0.061,MACHINE OFF
2,0.131,4.123,MACHINE ON + WORKING
3,0.148,2.881,MACHINE ON + WORKING
5,0.17,2.496,MACHINE ON + WORKING
4,0.042,0.512,MACHINE OFF
5,0.042,0.44,MACHINE OFF
5,0.029,0.548,MACHINE OFF
4,0.047,0.241,MACHINE OFF
4,0.162,3.955,MACHINE ON + WORKING
1,0.08,0.828,MACHINE ON (Idle)
3,0.105,3.877,MACHINE ON + WORKING
4,0.041,0.134,MACHINE OFF
3,0.139,5.402,MACHINE ON + WORKING
5,0.067,1.019,MACHINE ON (Idle)
5,0.113,1.472,MACHINE ON (Idle)
1,0.198,0.974,MACHINE ON + WORKING
3,0.126,1.183,MACHINE ON (Idle)
2,0.029,0.203,MACHINE OFF
5,0.146,1.279,MACHINE ON (Idle)
3,0.202,3.614,MACHINE ON + WORKING
2,0.031,0.068,MACHINE OFF
3,0.089,0.565,MACHINE ON (Idle)
4,0.027,0.146,MACHINE OFF
3,0.03,0.321,MACHINE OFF
5,0.04,0.395,MACHINE OFF
3,0.147,9.5,MACHINE ON + WORKING
3,0.11,3.011,MACHINE ON + WORKING
5,0.097,0.995,MACHINE ON (Idle)
1,0.095,1.057,MACHINE ON (Idle)
5,0.122,0.523,MACHINE ON + WORKING
5,0.12,1.13,MACHINE ON (Idle)
5,0.096,5.34,MACHINE ON + WORKING
2,0.142,0.988,MACHINE ON + WORKING
1,0.102,0.347,MACHINE ON (Idle)
4,0.033,0.222,MACHINE OFF
4,0.035,0.048,MACHINE OFF
4,0.12,5.603,MACHINE ON + WORKING
1,0.118,0.798,MACHINE ON (Idle)
5,0.103,1.215,MACHINE ON (Idle)
5,0.166,2.325,MACHINE ON + WORKING
4,0.151,3.267,MACHINE ON + WORKING
3,0.026,0.317,MACHINE OFF
3,0.03,0.588,MACHINE OFF
2,0.033,0.216,MACHINE OFF
3,0.024,0.406,MACHINE OFF
4,0.179,1.858,MACHINE ON + WORKING
3,0.129,0.812,MACHINE ON (Idle)
5,0.11,6.335,MACHINE ON + WORKING
3,0.125,0.01,MACHINE ON + WORKING
3,0.079,1.583,MACHINE ON (Idle)
1,0.062,0.58,MACHINE ON (Idle)
3,0.085,0.808,MACHINE ON (Idle)
5,0.039,0.601,MACHINE OFF
3,0.043,0.305,MACHINE OFF
5,0.036,0.566,MACHINE OFF
5,0.135,1.586,MACHINE ON (Idle)
1,0.03,0.073,MACHINE OFF
1,0.095,0.798,MACHINE ON (Idle)
5,0.045,0.461,MACHINE OFF
4,0.036,0.01,MACHINE OFF
